date,action,price,leverage,vix,shares,equity,entry,exit,pnl
2022-12-13,ENTER,111.0514678955078,3.0,22.549999237060547,2701.0,100000.0,,,
2022-12-14,STOP,,,,,94300.94971907044,111.0514678955078,108.94149000549315,-5699.050280929563
2022-12-14,ENTER,109.13957214355467,3.0,21.13999938964844,2592.0,94300.94971907044,,,
2022-12-15,STOP,,,,,88926.04407014465,109.13957214355467,107.06592027282713,-5374.905648925796
2022-12-15,ENTER,104.98410034179688,3.0,22.829999923706055,2541.0,88926.04407014465,,,
2022-12-19,STOP,,,,,83857.51668974305,104.98410034179688,102.98940243530274,-5068.527380401607
2022-12-19,ENTER,102.9368896484375,3.0,22.420000076293945,2443.0,83857.51668974305,,,
2022-12-21,BEAR_EXIT,,,,,88219.90219541932,102.9368896484375,104.7225570678711,4362.3855056762695
2023-01-13,ENTER,111.37683868408205,3.0,18.350000381469727,2376.0,88219.90219541932,,,
2023-01-19,STOP,,,,,83191.90618986513,111.37683868408205,109.26067874908449,-5027.99600555419
2023-01-19,ENTER,108.614501953125,3.0,20.520000457763672,2297.0,83191.90618986513,,,
2025-03-03,BEAR_EXIT,,,,,344369.3862924042,108.614501953125,222.3182373046875,261177.48010253906
2025-05-23,ENTER,236.70347595214844,3.0,22.290000915527344,4364.0,344369.3862924042,,,
