date,action,price,leverage,stop,entry,pnl,exit
2022-12-13,ENTER,111.0514678955078,3.0,108.94149000549315,,,
2022-12-14,STOP,,,108.94149000549315,111.0514678955078,-5699.050280929563,
2022-12-14,ENTER,109.13957214355467,3.0,107.06592027282713,,,
2022-12-15,STOP,,,107.06592027282713,109.13957214355467,-5374.905648925796,
2022-12-15,ENTER,104.98410034179688,3.0,102.98940243530274,,,
2022-12-19,STOP,,,102.98940243530274,104.98410034179688,-5068.527380401607,
2022-12-19,ENTER,102.9368896484375,3.0,100.98108874511719,,,
2022-12-21,BEAR_EXIT,,,,102.9368896484375,4362.3855056762695,104.7225570678711
2023-01-13,ENTER,111.37683868408205,3.0,109.26067874908449,,,
2023-01-19,STOP,,,109.90912280273437,111.37683868408205,-3487.292934082069,
2023-01-19,ENTER,108.614501953125,3.0,106.55082641601562,,,
2023-01-25,STOP,,,115.20302906799314,108.614501953125,15417.153448791454,
2023-01-25,ENTER,116.71902465820312,3.0,114.50136318969726,,,
2023-01-27,STOP,,,116.55311654663086,116.71902465820312,-427.0474791870082,
2023-01-27,ENTER,118.03114318847656,3.0,115.7885514678955,,,
2023-01-30,STOP,,,115.7885514678955,118.03114318847656,-5682.727419952407,
2023-01-30,ENTER,115.20467376708984,3.0,113.01578496551514,,,
2023-02-03,STOP,,,122.71321156311036,115.20467376708984,18380.90052465823,
2023-02-03,ENTER,122.79125213623048,3.0,120.4582183456421,,,
2023-02-06,STOP,,,120.4582183456421,122.79125213623048,-6406.510788955713,
2023-02-06,ENTER,120.74909210205078,3.0,118.45485935211181,,,
2023-02-08,STOP,,,122.0115606536865,120.74909210205078,3324.0796964568517,
2023-02-08,ENTER,121.93789672851562,3.0,119.62107669067383,,,
2023-02-10,STOP,,,120.09529804229736,121.93789672851562,-4956.590465927138,
2023-02-10,ENTER,120.36433410644533,3.0,118.07741175842287,,,
2023-02-15,STOP,,,122.43255269622802,120.36433410644533,5379.436552024772,
2023-02-15,ENTER,124.79889678955078,3.0,122.42771775054932,,,
2023-02-16,STOP,,,122.42771775054932,124.79889678955078,-6255.170304885855,
2023-02-16,ENTER,121.41007995605467,3.0,119.10328843688963,,,
2023-02-17,STOP,,,119.10328843688963,121.41007995605467,-5898.465914505022,
2023-02-17,ENTER,119.752685546875,3.0,117.47738452148437,,,
2023-02-21,STOP,,,117.47738452148437,119.752685546875,-5563.111007080097,
2023-02-21,ENTER,116.11229705810548,3.0,113.90616341400148,,,
2023-02-24,STOP,,,117.36607598876951,116.11229705810548,2981.4862971190546,
2023-02-24,ENTER,117.50334930419922,3.0,115.27078566741943,,,
2023-03-02,STOP,,,115.92404221343993,117.50334930419922,-3831.3990021820287,
2023-03-02,ENTER,119.21499633789062,3.0,116.94991140747071,,,
2023-03-07,STOP,,,118.53712078857423,119.21499633789062,-1555.0465101318148,
2023-03-07,ENTER,118.42082977294922,3.0,116.17083400726318,,,
2023-03-09,STOP,,,119.20975453948975,118.42082977294922,1790.859220047008,
2023-03-09,ENTER,119.19034576416016,3.0,116.92572919464111,,,
2023-03-10,STOP,,,116.92572919464111,119.19034576416016,-5210.882726463332,
2023-03-10,ENTER,117.26162719726562,3.0,115.03365628051758,,,
2023-03-13,STOP,,,115.03365628051758,117.26162719726562,-4912.675871429448,
2023-03-13,ENTER,117.18270874023438,3.0,114.95623727416992,,,
2023-03-15,STOP,,,118.39679509735107,117.18270874023438,2526.5137091598504,
2023-03-15,ENTER,119.33338928222656,3.0,117.06605488586426,,,
2023-03-24,STOP,,,125.19080687713623,119.33338928222656,12341.57887247466,
2023-03-24,ENTER,125.5979995727539,3.0,123.21163758087158,,,
2023-03-28,STOP,,,123.21163758087158,125.5979995727539,-5481.4734953537,
2023-03-28,ENTER,123.26973724365234,3.0,120.92761223602295,,,
2023-04-04,STOP,,,127.35869622802734,123.26973724365234,9024.33247851562,
2023-04-04,ENTER,127.1024932861328,3.0,124.68754591369627,,,
2023-04-05,STOP,,,124.68754591369627,127.1024932861328,-5682.3711673431535,
2023-04-05,ENTER,124.87782287597656,3.0,122.505144241333,,,
2023-04-12,STOP,,,123.98588751983642,124.87782287597656,-2014.8819695205716,
2023-04-12,ENTER,123.48184967041016,3.0,121.13569452667237,,,
2023-04-21,STOP,,,122.44223007202149,123.48184967041016,-2323.549802398674,
2023-04-21,ENTER,122.5002212524414,3.0,120.17271704864501,,,
2023-04-25,STOP,,,120.17271704864501,122.5002212524414,-5111.199231536882,
2023-04-25,ENTER,117.9818115234375,3.0,115.74015710449218,,,
2023-05-03,STOP,,,120.5598495025635,117.9818115234375,5542.781655120889,
2023-05-03,ENTER,120.5715103149414,3.0,118.28065161895752,,,
2023-05-11,STOP,,,121.04374822998048,120.5715103149414,1058.757405517603,
2023-05-11,ENTER,121.38542938232422,3.0,119.07910622406006,,,
2023-05-23,STOP,,,129.72497552490233,121.38542938232422,18788.997459228493,
2023-05-23,ENTER,129.50474548339844,3.0,127.04415531921387,,,
2023-05-24,STOP,,,127.04415531921387,129.50474548339844,-6267.123148178091,
2023-05-24,ENTER,127.6007080078125,3.0,125.17629455566406,,,
2023-05-31,STOP,,,143.3033441619873,127.6007080078125,38283.026943878154,
2023-05-31,ENTER,142.3891143798828,3.0,139.68372120666504,,,
2023-06-05,STOP,,,141.78386892700195,142.3891143798828,-1810.2891495666681,
2023-06-05,ENTER,142.369384765625,3.0,139.66436645507812,,,
2023-06-20,STOP,,,150.59093952941893,142.369384765625,24278.25121748348,
2023-06-20,ENTER,150.78468322753906,3.25,147.9197742462158,,,
2023-06-21,STOP,,,147.9197742462158,150.78468322753906,-10153.237429809611,
2023-06-21,ENTER,147.33175659179688,3.25,144.53245321655274,,,
2023-06-23,STOP,,,145.24862393188477,147.33175659179688,-7088.900441680909,
